file,relative_time_s,gps_week,gps_tow_s,time_basis,time_status,sol_status,pos_type,tracked_svs,solution_svs,solution_l1_svs,solution_multifrequency_svs,source_message
0703002-0918-11-09-gnss_raw.txt,190.000,2436,443278.800,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,16,16,16,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,190.100,2436,443278.900,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,17,17,17,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,190.200,2436,443279.000,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,16,16,16,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,190.300,2436,443279.100,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,17,17,17,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,190.400,2436,443279.200,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,17,17,17,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,190.500,2436,443279.300,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,17,17,17,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,190.600,2436,443279.400,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,16,16,16,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,190.700,2436,443279.500,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,17,17,17,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,190.800,2436,443279.600,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,17,17,17,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,190.900,2436,443279.700,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,17,17,17,BESTGNSSPOSA
0703002-0918-11-09-gnss_raw.txt,191.000,2436,443279.800,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,28,17,17,17,BESTGNSSPOSA
