file,gps_week,gps_tow_s,time_status,sol_status,pos_type,tracked,used,horizontal_sigma_m,vertical_sigma_m,diff_age_s,station_id
gnss_raw.txt,2437,379926.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.9827,19.6326,1.4,1314
gnss_raw.txt,2437,379926.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.9827,19.6326,1.5,1314
gnss_raw.txt,2437,379926.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.9827,19.6326,1.6,1314
gnss_raw.txt,2437,379926.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.9827,19.6326,1.7,1314
gnss_raw.txt,2437,379926.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.9827,19.6326,1.8,1314
gnss_raw.txt,2437,379926.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,10.9827,19.6326,0.9,1314
gnss_raw.txt,2437,379927.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2848,14.7926,1.0,1314
gnss_raw.txt,2437,379927.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2849,14.7927,1.1,1314
gnss_raw.txt,2437,379927.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2849,14.7927,1.2,1314
gnss_raw.txt,2437,379927.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2849,14.7927,1.3,1314
gnss_raw.txt,2437,379927.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2849,14.7927,1.4,1314
gnss_raw.txt,2437,379927.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2849,14.7927,1.5,1314
gnss_raw.txt,2437,379927.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2849,14.7927,1.6,1314
gnss_raw.txt,2437,379927.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2849,14.7927,1.7,1314
gnss_raw.txt,2437,379927.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2849,14.7927,0.8,1314
gnss_raw.txt,2437,379927.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,8.2849,14.7927,0.9,1314
gnss_raw.txt,2437,379928.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9565,5.2719,1.0,1314
gnss_raw.txt,2437,379928.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9566,5.2719,1.1,1314
gnss_raw.txt,2437,379928.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9566,5.272,1.2,1314
gnss_raw.txt,2437,379928.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9566,5.272,1.3,1314
gnss_raw.txt,2437,379928.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9566,5.272,1.4,1314
gnss_raw.txt,2437,379928.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9566,5.272,1.5,1314
gnss_raw.txt,2437,379928.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9566,5.272,1.6,1314
gnss_raw.txt,2437,379928.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9566,5.272,1.7,1314
gnss_raw.txt,2437,379928.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9566,5.272,1.8,1314
gnss_raw.txt,2437,379928.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.9566,5.272,0.9,1314
gnss_raw.txt,2437,379929.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9577,3.4861,1.0,1314
gnss_raw.txt,2437,379929.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9578,3.4861,1.1,1314
gnss_raw.txt,2437,379929.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9578,3.4861,1.2,1314
gnss_raw.txt,2437,379929.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9578,3.4861,1.3,1314
gnss_raw.txt,2437,379929.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9578,3.4861,1.4,1314
gnss_raw.txt,2437,379929.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9578,3.4861,1.5,1314
gnss_raw.txt,2437,379929.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9578,3.4861,1.6,1314
gnss_raw.txt,2437,379929.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9578,3.4861,1.7,1314
gnss_raw.txt,2437,379929.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9578,3.4861,0.8,1314
gnss_raw.txt,2437,379929.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,1.9578,3.4861,0.9,1314
gnss_raw.txt,2437,379930.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0823,3.7038,1.0,1314
gnss_raw.txt,2437,379930.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0823,3.7038,1.1,1314
gnss_raw.txt,2437,379930.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0823,3.7038,1.2,1314
gnss_raw.txt,2437,379930.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0823,3.7038,1.3,1314
gnss_raw.txt,2437,379930.400,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0823,3.7038,1.4,1314
gnss_raw.txt,2437,379930.500,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0823,3.7038,1.5,1314
gnss_raw.txt,2437,379930.600,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0823,3.7038,1.6,1314
gnss_raw.txt,2437,379930.700,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0823,3.7038,1.7,1314
gnss_raw.txt,2437,379930.800,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0824,3.7038,0.8,1314
gnss_raw.txt,2437,379930.900,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,2.0824,3.7038,0.9,1314
gnss_raw.txt,2437,379931.000,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,5.8019,10.3071,1.0,1314
gnss_raw.txt,2437,379931.100,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,5.8019,10.3071,1.1,1314
gnss_raw.txt,2437,379931.200,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,5.8019,10.3071,1.2,1314
gnss_raw.txt,2437,379931.300,FINESTEERING,SOL_COMPUTED,NARROW_FLOAT,24,23,5.8019,10.3071,1.3,1314
