file,relative_time_s,gps_week,gps_tow_s,time_basis,time_status,sol_status,pos_type,tracked_svs,solution_svs,solution_l1_svs,solution_multifrequency_svs,source_message
0703002-0918-15-42-gnss_raw.txt,0.000,2436,459453.200,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,15,15,15,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,0.100,2436,459453.300,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,14,14,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,0.200,2436,459453.400,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,14,14,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,0.300,2436,459453.500,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,14,14,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,0.400,2436,459453.600,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,14,14,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,0.500,2436,459453.700,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,13,13,13,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,0.600,2436,459453.800,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,12,12,12,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,0.700,2436,459453.900,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,13,13,13,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,0.800,2436,459454.000,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,14,14,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,0.900,2436,459454.100,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,17,17,17,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,1.000,2436,459454.200,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,16,16,16,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,1.100,2436,459454.300,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,15,15,15,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,1.200,2436,459454.400,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,16,16,16,BESTGNSSPOSA
0703002-0918-15-42-gnss_raw.txt,1.300,2436,459454.500,GPS标准时间,FINESTEERING,SOL_COMPUTED,SINGLE,26,14,14,14,BESTGNSSPOSA
