file,gps_week,gps_tow_s,time_status,sol_status,pos_type,tracked,used,horizontal_sigma_m,vertical_sigma_m,diff_age_s,station_id
0703002-0918-15-32-gnss_raw.txt,1356,117.800,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,117.900,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.000,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.100,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.200,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.300,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.400,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.500,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.600,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.700,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.800,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,118.900,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,119.000,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,119.100,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,119.200,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
0703002-0918-15-32-gnss_raw.txt,1356,119.300,UNKNOWN,INSUFFICIENT_OBS,NONE,0,0,0.0,0.0,0.0,
